hour;minute;second;filename
09;30;00;start_mission.m4a
10;00;00;end_of_mission_please_clear_the_arena.m4a
10;10;00;start_mission.m4a
10;40;00;end_of_mission_please_clear_the_arena.m4a
10;50;00;start_mission.m4a
11;20;00;end_of_mission_please_clear_the_arena.m4a
11;30;00;start_mission.m4a
12;10;00;end_of_mission_please_clear_the_arena.m4a
